code_barre,adresseLongitude,adresseLatitude,adresseLigne1,code_postal,region,commune,populationCommune,densite,niveau_de_vie,gareLaPlusProche,distanceGare,nombre_paiements,nombre_contacts,taux de transformation
DM20191003-601,2.43731,48.91926,76 RUE ROGER SALENGRO,93700.0,Ile-de-France,Drancy,71605.0,4,16581.428571,Bobigny,1.0486884809798547,18.0,72,25.0
DM20191003-602,4.64429,46.03178,90C RUE ADOLPHE VALETTE,69460.0,Auvergne-Rhône-Alpes,Blacé,1656.0,2,23863.333333,St-Georges-de-Reneins,6.660497418221155,6.0,36,16.666666666666664
DM20191003-603,2.1975,46.56188,22-24 RUE DE LA LIBERATION,18370.0,Centre-Val de Loire,Châteaumeillant,1800.0,2,17977.142857,Lavaufranche,27.13950389645464,28.0,62,45.16129032258064
DM20200415-102,1.36823,48.73631,5 BIS RUE DE SENARMONT,28100.0,Centre-Val de Loire,Dreux,31605.0,3,16066.0,Dreux,0.6066468017337694,1.0,6,16.666666666666664
DM20200415-103,1.08974,49.43869,7 RUE GRAND PONT,76000.0,Normandie,Rouen,111760.0,4,19263.333333,Rouen-Rive-Droite,1.211675951588414,10.0,22,45.45454545454545
DM20200415-104,3.30369,48.19564,CENTRE COMMERCIAL DES CHAMPS PLAISANTS,89100.0,Bourgogne-Franche-Comté,Sens,26519.0,3,16995.757576,Sens,2.7138242834104322,10.0,42,23.809523809523807
DM20200415-105,3.29929,49.86092,72 AV ROBERT SCHUMANN,2100.0,Hauts-de-France,Saint-Quentin,55098.0,3,16301.0,St-Quentin,2.358047979263321,6.0,62,9.67741935483871
DM20200415-106,3.29221,47.73504,1 RUE LUCILE CORMIER,89130.0,Bourgogne-Franche-Comté,Toucy,2802.0,2,18482.0,Étais (GS),26.57448882442285,44.0,61,72.1311475409836
DM20200415-107,2.23645,48.98523,TROISIEME AVENUE,95130.0,Ile-de-France,Franconville,36972.0,1,21647.692308,Franconville-Plessis-Bouchard,0.918858983581334,14.0,52,26.923076923076923
DM20200415-108,2.08008,50.01585,34 Rue Roger Godard,80420.0,Hauts-de-France,Flixecourt,3249.0,2,17374.0,Hangest,3.8712525720731223,7.0,17,41.17647058823529
DM20200415-109,2.47678,49.26295,45 QUAI D'AMONT,60100.0,Hauts-de-France,Creil,35884.0,4,14103.888889,Creil,0.561573379878231,3.0,339,0.8849557522123894
DM20200415-110,6.31082,46.06721,15 PL DE LA GRENETTE,74800.0,Auvergne-Rhône-Alpes,La Roche-sur-Foron,11683.0,3,24397.142857,La Roche-sur-Foron,0.5481937778442235,16.0,36,44.44444444444444
DM20200415-111,1.83524,48.51682,61 RUE PIERRE TROUVE,78660.0,Ile-de-France,Ablis,3487.0,2,23847.083333,Auneau,8.85291687719535,13.0,36,36.11111111111111
PROX-BDB-0122-356577,4.85053,45.74225,44 RTE DE VIENNE,69007.0,Auvergne-Rhône-Alpes,Lyon 7e Arrondissement,82105.0,4,20856.5,Lyon-Guillotière,0.4581393150857112,9.0,37,24.324324324324326
PROX-BDB-0122-356578,5.23062,46.21255,2 B RUE ROBERT SCHUMAN,1000.0,Auvergne-Rhône-Alpes,Bourg-en-Bresse,43306.0,3,18088.0,Bourg-en-Bresse,1.7130019726414565,10.0,139,7.194244604316546
PROX-BDB-0122-356579,2.21284,49.19858,6 RUE DU 11 NOVEMBRE,60540.0,Hauts-de-France,Bornel,4886.0,2,22003.461538,Bornel-Belle-Église,0.6128598003173454,10.0,25,40.0
PROX-BDB-0122-356580,2.11962,49.20155,49 RUE NATIONALE,60110.0,Hauts-de-France,Amblainville,1761.0,2,23681.428571,Méru,3.560782866977928,10.0,96,10.416666666666668
PROX-BDB-0122-356581,2.77038,50.41814,1 RUE JEAN BAPTISTE DEFERNEZ,62800.0,Hauts-de-France,Liévin,31154.0,4,15163.6,Liévin,1.77343740563853,30.0,59,50.847457627118644
PROX-BDB-0122-356582,2.44442,49.29237,529 RUE DE LA REPUBLIQUE,60290.0,Hauts-de-France,Laigneville,4772.0,3,20800.434783,Laigneville,0.35133674098899637,7.0,88,7.954545454545454
PROX-BDB-0122-356583,4.90027,45.70507,27 DEUXIEME AVENUE,69800.0,Auvergne-Rhône-Alpes,Saint-Priest,46497.0,2,21383.0,Vénissieux,0.8834061485501618,3.0,69,4.3478260869565215
PROX-BDB-0122-356584,4.79905,45.37244,100 RUE DE LA REPUBLIQUE,38550.0,Auvergne-Rhône-Alpes,Le Péage-de-Roussillon,6756.0,3,16496.0,Le Péage-de-Roussillon,0.30831635567341203,16.0,80,20.0
PROX-BDB-0122-356585,4.82865,45.76238,22 QUAI ROMAIN ROLLAND,69005.0,Auvergne-Rhône-Alpes,Lyon 5e Arrondissement,50473.0,4,22735.666667,Lyon-St-Paul,0.5014982023580156,11.0,28,39.285714285714285
PROX-BDB-0122-356586,2.20017,49.328,34 RUE DE PARIS,60430.0,Hauts-de-France,Noailles,2868.0,2,20538.666667,Villers-St-Sépulcre,4.634786562686074,8.0,46,17.391304347826086
PROX-BDB-0122-356587,4.43356,45.89854,17 PL AMBROISE CROIZAT,69170.0,Auvergne-Rhône-Alpes,Tarare,10863.0,3,17220.0,Chamelet,10.84937519332845,21.0,89,23.595505617977526
PROX-BDB-0122-356588,4.79726,45.75654,70 AV DU POINT DU JOUR,69005.0,Auvergne-Rhône-Alpes,Lyon 5e Arrondissement,50473.0,4,22735.666667,Lyon-Gorge-de-Loup,1.189076931765733,1.0,42,2.380952380952381
PROX-BDB-0122-356589,2.74364,49.08782,51 RUE MESLIN,60330.0,Hauts-de-France,Lagny-le-Sec,2116.0,3,26148.095238,Le Plessis-Belleville,0.9072651130044754,7.0,55,12.727272727272727
PROX-BDB-0122-356590,2.82368,49.41819,24 RUE SAINT NICOLAS,60200.0,Hauts-de-France,Compiègne,41235.0,3,18656.666667,Compiègne,0.46447352100243383,8.0,30,26.666666666666668
PROX-BDB-0122-356591,2.41733,49.3847,34 AV DES DEPORTES,60600.0,Hauts-de-France,Clermont,10362.0,1,24076.041667,Clermont-de-l'Oise,0.10622406966263699,23.0,43,53.48837209302325
PROX-BDB-0122-356592,2.43025,49.5055,50 RUE DE BEAUVAIS,60130.0,Hauts-de-France,Saint-Just-en-Chaussée,6059.0,3,17693.0,St-Just-en-Chaussée,0.1805308872505468,12.0,32,37.5
PROX-BDB-0122-356593,4.87416,45.74352,133 AV DES FRERES LUMIERE,69008.0,Auvergne-Rhône-Alpes,Lyon 8e Arrondissement,86110.0,4,18710.0,Lyon-Part-Dieu,2.180589332560257,14.0,55,25.454545454545453
PROX-BDB-0122-356594,2.2913,50.27737,35 RUE HOUBART,62270.0,Hauts-de-France,Frévent,3628.0,2,14617.619048,St-Pol-sur-Ternoise,11.793855122864768,54.0,74,72.97297297297297
PROX-BDB-0122-356595,2.7289,49.30786,2 RUE DE PARIS,60410.0,Hauts-de-France,Verberie,3900.0,3,20308.0,Verberie,1.8199921810047681,9.0,65,13.846153846153847
PROX-BDB-0122-356596,3.00532,49.58232,17 RUE DU MARECHAL LECLERC,60400.0,Hauts-de-France,Noyon,13831.0,3,15716.666667,Noyon,0.5985932614481666,23.0,138,16.666666666666664
PROX-BDB-0122-356597,4.59584,46.15028,100 RUE DU GENERAL LECLERC,69430.0,Auvergne-Rhône-Alpes,Beaujeu,2190.0,1,19210.0,Lamure-sur-Azergues,12.733488065167021,5.0,51,9.803921568627452
PROX-BDB-0122-356598,4.88301,45.76876,136 B RUE ANATOLE FRANCE,69100.0,Auvergne-Rhône-Alpes,Villeurbanne,148754.0,4,18899.333333,Lyon-Part-Dieu,1.9914380329252077,17.0,43,39.53488372093023
PROX-BDB-0122-356599,4.88802,45.69741,89 BD AMBROISE CROIZAT,69200.0,Auvergne-Rhône-Alpes,Vénissieux,66202.0,4,15621.0,Vénissieux,0.8258597923268836,1.0,133,0.7518796992481203
PROX-BDB-0122-356600,4.91457,45.74925,291 RTE DE GENAS,69100.0,Auvergne-Rhône-Alpes,Villeurbanne,148754.0,4,18899.333333,Vénissieux,5.327956699366999,1.0,51,1.9607843137254901
PROX-BDB-0122-356601,4.8787,45.77816,105 B AV ROGER SALENGRO,69100.0,Auvergne-Rhône-Alpes,Villeurbanne,148754.0,4,18899.333333,Lyon-Part-Dieu,2.428437570911078,2.0,36,5.555555555555555
PROX-BDB-0122-356602,4.88981,45.76384,150 RUE DU QUATRE AOUT 1789,69100.0,Auvergne-Rhône-Alpes,Villeurbanne,148754.0,4,18899.333333,Lyon-Part-Dieu,2.3260180681559643,11.0,59,18.64406779661017
PROX-BDB-0122-356603,2.93995,49.92798,14 AV DE LA GARE,80200.0,Hauts-de-France,Doingt,1463.0,3,20038.333333,Péronne-la-Chapelette,1.390162308576108,11.0,37,29.72972972972973
PROX-BDB-0122-356604,4.27047,45.52707,12 rue Molière,42160.0,Auvergne-Rhône-Alpes,Andrézieux-Bouthéon,9953.0,3,18537.666667,Bouthéon,0.6291926935044017,2.0,8,25.0
PROX-BDB-0122-356605,2.26097,49.87036,1 Rue Albert Camus,80480.0,Hauts-de-France,Salouël,4032.0,3,24998.26087,St-Roch (Somme),3.002620275733338,3.0,47,6.382978723404255
PROX-BDB-0122-356606,2.63668,49.42514,1 RUE DU CALVAIRE,60190.0,Hauts-de-France,Estrées-Saint-Denis,3805.0,2,20554.5,Estrées-St-Denis,1.4826053615070118,16.0,20,80.0
PROX-BDB-0122-356607,2.78889,49.69839,8 place de l'hôtel de ville,80700.0,Hauts-de-France,Roye,5848.0,2,18325.333333,Roye (Somme),0.7542898440944804,4.0,61,6.557377049180328
PROX-BDB-0122-356608,2.81771,49.40375,2 RUE DE NORMANDIE,60200.0,Hauts-de-France,Compiègne,41235.0,3,18656.666667,Compiègne,2.1167249160976525,15.0,44,34.090909090909086
PROX-BDB-0122-356609,4.86604,45.73195,83 BD DES ETATS UNIS,69008.0,Auvergne-Rhône-Alpes,Lyon 8e Arrondissement,86110.0,4,18710.0,Port-Édouard-Herriot,1.458453967185747,4.0,42,9.523809523809524
PROX-BDB-0122-356610,-3.25086,47.82618,18 RUE EMILE ZOLA,56650.0,Bretagne,Inzinzac-Lochrist,6657.0,3,19952.666667,Hennebont,3.979280924388005,13.0,30,43.333333333333336
PROX-BDB-0122-356611,-1.70813,48.12303,SQ DE FLANDRE,35000.0,Bretagne,Rennes,220925.0,4,20110.555556,Pontchaillou,1.3229049281595513,26.0,69,37.68115942028986
PROX-BDB-0122-356612,4.76187,45.59016,3 RUE EDOUARD IDOUX,69700.0,Auvergne-Rhône-Alpes,Givors,20089.0,3,16580.666667,Givors,0.6433065532039216,3.0,15,20.0
PROX-BDB-0122-356613,4.829,46.29993,27 Avenue Edouard Herriot,71000.0,Bourgogne-Franche-Comté,Mâcon,34417.0,3,17605.0,Mâcon-Ville,0.46477316242563405,7.0,26,26.923076923076923
PROX-BDB-0122-356614,2.29539,49.88922,69 RUE DE LA REPUBLIQUE,80000.0,Hauts-de-France,Amiens,136754.0,4,17376.0,St-Roch (Somme),0.9499345118473993,6.0,34,17.647058823529413
PROX-BDB-0122-356615,2.32823,49.87584,470 RUE DE CAGNY,80090.0,Hauts-de-France,Amiens,136754.0,4,17376.0,Amiens,2.0722814630192783,11.0,25,44.0
PROX-BDB-0122-356616,1.98315,49.77534,7 RUE CHARLES MEHAYE,80290.0,Hauts-de-France,Poix-de-Picardie,2440.0,2,18323.0,Poix-de-Picardie,0.5613471553056887,40.0,100,40.0
PROX-BDB-0122-356617,1.84179,50.0964,76 RTE DE PARIS,80100.0,Hauts-de-France,Abbeville,23358.0,3,16411.333333,Abbeville,1.392861401930149,26.0,38,68.42105263157895
PROX-BDB-0122-356618,2.03701,50.37347,11 Place D'ARMES,62140.0,Hauts-de-France,Hesdin,2237.0,3,15106.923077,Hesdin,0.5507664988135896,8.0,9,88.88888888888889
PROX-BDB-0122-356619,4.0652,45.42275,12 PL REPUBLIQUE,42380.0,Auvergne-Rhône-Alpes,Saint-Bonnet-le-Château,1575.0,2,17171.666667,Aurec,11.882115015501233,3.0,22,13.636363636363635
PROX-BDB-0122-356620,1.99274,50.0117,10 GRANDE RUE,80510.0,Hauts-de-France,Longpré-les-Corps-Saints,1685.0,2,17776.666667,Longpré-les-Corps-Saints,0.738803785362813,9.0,15,60.0
PROX-BDB-0122-356621,2.20038,49.92811,5 RUE JEAN JAURES,80470.0,Hauts-de-France,Ailly-sur-Somme,2993.0,3,19402.380952,Ailly-sur-Somme,0.04700578066969607,7.0,15,46.666666666666664
PROX-BDB-0122-356622,2.47911,49.77165,48 RUE DE LA REPUBLIQUE,80110.0,Hauts-de-France,Moreuil,4008.0,2,19056.666667,Moreuil,0.6596623852275393,20.0,46,43.47826086956522
PROX-BDB-0122-356623,2.56705,49.64717,9 PL DU GENERAL DE GAULLE,80500.0,Hauts-de-France,Montdidier,6359.0,1,17047.0,Montdidier,0.6407448850982943,53.0,76,69.73684210526315
PROX-BDB-0122-356624,2.29093,49.89067,154 RUE MAL DE LATTRE DE TASSIGNY,80000.0,Hauts-de-France,Amiens,136754.0,4,17376.0,St-Roch (Somme),0.5921951515728694,5.0,33,15.151515151515152
PROX-BDB-0122-356625,3.02179,50.33497,24 RUE DU PONT,62117.0,Hauts-de-France,Brebières,5083.0,3,19613.043478,Brebières-Sud,0.5918656841284583,6.0,23,26.08695652173913
PROX-BDB-0122-356626,2.93841,50.24896,35 RUE ANDRE MERCIER,62156.0,Hauts-de-France,Vis-en-Artois,669.0,2,20456.666667,Biache-St-Vaast,7.487922861029498,17.0,37,45.94594594594595
PROX-BDB-0122-356627,4.36509,48.95913,9 RUE LEON BOURGEOIS,51000.0,Grand Est,Châlons-en-Champagne,45997.0,3,18131.428571,Châlons-en-Champagne,1.2521937402648249,28.0,49,57.14285714285714
PROX-BDB-0122-356628,3.07888,50.36431,434 RUE DE PARIS,59500.0,Hauts-de-France,Douai,40605.0,4,16504.0,Douai,1.1511159655256593,4.0,19,21.052631578947366
PROX-BDB-0122-356629,3.01524,50.48319,86 RUE CYPRIEN QUINET,62820.0,Hauts-de-France,Libercourt,8398.0,3,15782.666667,Libercourt,0.6105662589014348,46.0,90,51.11111111111111
PROX-BDB-0122-356630,2.75785,50.27444,102 RUE RAOUL BRIQUET,62217.0,Hauts-de-France,Achicourt,7903.0,4,19145.555556,Arras,2.1757164172071404,9.0,63,14.285714285714285
PROX-BDB-0122-356631,2.91209,50.42107,23 bis Rue du 8 Mai 1945,62420.0,Hauts-de-France,Billy-Montigny,8192.0,4,15201.428571,Billy-Montigny,0.6427511690828114,5.0,26,19.230769230769234
PROX-BDB-0122-356632,3.48841,50.33056,2 AV AMBROISE CROIZAT,59125.0,Hauts-de-France,Trith-Saint-Léger,6305.0,3,17093.793103,Trith-St-Léger,0.13703618872332546,8.0,27,29.629629629629626
PROX-BDB-0122-356633,2.41524,50.63625,5001 Rue Jean Monnet,62120.0,Hauts-de-France,Aire-sur-la-Lys,10128.0,3,17819.0,Aire-sur-la-Lys,0.864138133137768,6.0,29,20.689655172413794
PROX-BDB-0122-356634,5.57424,46.18529,20 avenue François Prosper de Dougla,1460.0,Auvergne-Rhône-Alpes,Montréal-la-Cluse,3505.0,3,18042.5,Brion-Montréal-la-Cluse,1.61723953064022,8.0,37,21.62162162162162
PROX-BDB-0122-356635,3.52456,50.34918,48 AV DE REIMS,59300.0,Hauts-de-France,Valenciennes,43755.0,4,17590.666667,Marly-les-Valenciennes,0.760947507403324,5.0,23,21.73913043478261
PROX-BDB-0122-356636,4.86511,45.75699,239 RUE PAUL BERT,69003.0,Auvergne-Rhône-Alpes,Lyon 3e Arrondissement,102752.0,4,23139.0,Lyon-Part-Dieu,0.5485572595051484,8.0,37,21.62162162162162
PROX-BDB-0122-356637,4.97524,45.77207,372 AV JEAN JAURES,69150.0,Auvergne-Rhône-Alpes,Décines-Charpieu,28730.0,4,19491.714286,Miribel,5.776895682407881,5.0,101,4.9504950495049505
PROX-BDB-0122-356638,4.93746,45.76809,9 AV JEAN JAURES,69150.0,Auvergne-Rhône-Alpes,Décines-Charpieu,28730.0,4,19491.714286,Miribel,6.106275118074471,7.0,38,18.421052631578945
PROX-BDB-0122-356639,2.63888,50.53286,128 RUE SADI CARNOT,62400.0,Hauts-de-France,Béthune,25228.0,3,16553.333333,Béthune-Rivage,0.5870917176011611,5.0,35,14.285714285714285
PROX-BDB-0122-356640,2.08039,50.87869,292 PL DU GENERAL DE GAULLE,62370.0,Hauts-de-France,Audruicq,5465.0,2,18232.564103,Audruicq,0.4179289257485362,91.0,132,68.93939393939394
PROX-BDB-0122-356641,3.03548,50.62128,105 RUE D ISLY,59000.0,Hauts-de-France,Lille,234842.0,4,17842.0,Lille CHR,0.7633291356884429,20.0,37,54.054054054054056
PROX-BDB-0122-356642,3.4084,50.11381,260 RUE DE SAINT QUENTIN,59540.0,Hauts-de-France,Caudry,14739.0,3,15730.666667,Caudry,0.2747916419565729,5.0,30,16.666666666666664
PROX-BDB-0122-356643,2.30541,51.02834,66 RUE DU GEN DE GAULLE,59430.0,Hauts-de-France,Dunkerque,88667.0,4,17871.304348,Grande-Synthe,2.9089444213432443,12.0,18,66.66666666666666
PROX-BDB-0122-356644,1.95368,50.94737,172 AV FRANCOIS MITTERRAND,62730.0,Hauts-de-France,Marck,10819.0,3,19330.769231,Marck,0.23172084112072602,14.0,62,22.58064516129032
PROX-BDB-0122-356645,1.86164,50.94981,94 RUE DESCARTES,62100.0,Hauts-de-France,Calais,74581.0,4,15539.230769,Calais-Ville,0.8788379304648763,17.0,41,41.46341463414634
PROX-BDB-0122-356646,1.61468,50.71667,111 RUE DE BREQUERECQUE,62200.0,Hauts-de-France,Boulogne-sur-Mer,41320.0,4,15260.0,Boulogne-Tintelleries,1.2424570949374527,24.0,80,30.0
PROX-BDB-0122-356647,3.32787,49.38222,16 RUE DU COMMERCE,2200.0,Hauts-de-France,Soissons,29176.0,3,16438.0,Soissons,1.654690754485258,9.0,43,20.930232558139537
PROX-BDB-0122-356648,1.64071,50.51986,15 RUE DE LA PIERRE TROUEE,62630.0,Hauts-de-France,Étaples,10963.0,3,16055.333333,Étaples-Le Touquet,0.3475208692241625,16.0,86,18.6046511627907
PROX-BDB-0122-356649,2.7467,50.29362,4 RUE DES HORTENSIAS,62000.0,Hauts-de-France,Arras,41813.0,4,17312.0,Arras,2.614874264150875,35.0,100,35.0
PROX-BDB-0122-356650,2.34162,50.15572,50 RUE DU BOURG,80600.0,Hauts-de-France,Doullens,6412.0,3,16360.4,St-Pol-sur-Ternoise,24.805393216850106,15.0,32,46.875
PROX-BDB-0122-356651,5.71633,45.1906,54 AV FELIX VIALLET,38000.0,Auvergne-Rhône-Alpes,Grenoble,160625.0,4,19773.333333,Grenoble,0.14437747565700268,1.0,27,3.7037037037037033
PROX-BDB-0520-330534,5.53655,43.21354,Quai des Moulins,13260.0,Provence-Alpes-Côte d'Azur,Cassis,7250.0,3,24305.333333,Cassis,2.6545161991685466,250.0,1161,21.53316106804479
PROX-BDB-0620-335072,2.14551,43.92778,18 LICES GEORGES POMPIDOU,81000.0,Occitanie,Albi,50759.0,3,19399.444444,Albi,0.8647342428463077,20.0,101,19.801980198019802
PROX-BDB-0620-336491,3.20051,46.10104,29 Cours  DE LA REPUBLIQUE,3800.0,Auvergne-Rhône-Alpes,Gannat,6032.0,2,18239.333333,Gannat,0.5075071096731159,26.0,41,63.41463414634146
PROX-BDB-0620-336492,-0.43759,43.32421,170 BD DE L EUROPE,64230.0,Nouvelle-Aquitaine,Lescar,10225.0,3,23600.714286,Lescar,0.11792661708843781,15.0,37,40.54054054054054
PROX-BDB-0620-336493,4.36435,46.67601,5 rue Danton,71300.0,Bourgogne-Franche-Comté,Montceau-les-Mines,18789.0,3,16972.0,Montceau-les-Mines,0.6596172232591305,91.0,136,66.91176470588235
PROX-BDB-0620-336494,4.45028,46.80312,177 RUE MARECHAL FOCH,71200.0,Bourgogne-Franche-Comté,Le Creusot,21935.0,3,17813.304348,Le Creusot,1.653769928463669,3.0,13,23.076923076923077
PROX-BDB-0620-336495,7.06605,49.10904,9 PL DU GENERAL SIBILLE,57200.0,Grand Est,Sarreguemines,21232.0,3,17647.333333,Sarreguemines,0.2565190809403888,22.0,38,57.89473684210527
PROX-BDB-0620-336496,4.89481,44.92476,19 PL DE LA PAIX,26000.0,Auvergne-Rhône-Alpes,Valence,65028.0,1,18135.0,Valence,0.3674613517514025,7.0,29,24.137931034482758
PROX-BDB-0620-336497,-4.48948,48.39009,22-24 RUE ALGESIRAS,29200.0,Bretagne,Brest,142748.0,4,19050.869565,Brest,0.7931591558971869,31.0,92,33.69565217391305
PROX-BDB-0620-336498,5.86572,43.10786,119 BOULEVARD MARECHAL ALPHONSE JUIN,83500.0,Provence-Alpes-Côte d'Azur,La Seyne-sur-Mer,64717.0,4,18388.4,La Seyne-Six-Fours,1.3517577621844086,5.0,19,26.31578947368421
PROX-BDB-0620-336500,3.31792,46.57578,1 Rue Jean Baron,3000.0,Auvergne-Rhône-Alpes,Moulins,20227.0,1,20248.888889,Moulins-sur-Allier,2.2931274015991874,17.0,32,53.125
PROX-BDB-0620-336501,-1.17595,46.16407,141 AV EDMOND GRASSET,17000.0,Nouvelle-Aquitaine,La Rochelle,77855.0,4,19154.0,La Rochelle-Porte-Dauphine,1.883839968319629,5.0,51,9.803921568627452
PROX-BDB-0620-336502,4.58178,48.72646,38 RUE DU PONT,51300.0,Grand Est,Vitry-le-François,12416.0,3,15901.0,Vitry-le-François,1.052553907546661,2.0,27,7.4074074074074066
PROX-BDB-0620-336503,7.09825,43.62739,15 RUE ST SEBASTIEN,6410.0,Provence-Alpes-Côte d'Azur,Biot,10084.0,3,25915.0,Biot,2.85669527782677,7.0,26,26.923076923076923
PROX-BDB-0620-336504,5.16129,43.391,122 ZONE DE FOURNEILLIER,13220.0,Provence-Alpes-Côte d'Azur,Châteauneuf-les-Martigues,16920.0,3,21025.6,Carry-le-Rouet,6.071456134949387,11.0,115,9.565217391304348
PROX-BDB-0620-336505,-1.51917,47.27056,6 RUE BARBARA,44300.0,Pays de la Loire,Nantes,314503.0,4,20725.652174,Haluchère-Batignolles,2.3945564656156635,22.0,32,68.75
PROX-BDB-0620-336506,4.87578,44.87107,111 RUE JEAN JAURES,26800.0,Auvergne-Rhône-Alpes,Portes-lès-Valence,10758.0,3,18776.5,Portes,0.949244845438351,4.0,66,6.0606060606060606
PROX-BDB-0620-336507,6.1816,48.69199,11 RUE SAINT DIZIER,54000.0,Grand Est,Nancy,105743.0,4,19775.238095,Nancy-Ville,0.6063231031028822,4.0,25,16.0
PROX-BDB-0620-336508,3.20999,43.33887,6 AV COLONEL D ORNANO,34500.0,Occitanie,Béziers,78453.0,4,15305.0,Béziers,0.8373256712255162,4.0,36,11.11111111111111
PROX-BDB-0620-336509,3.07083,45.74749,59 AV DU MONT DORE,63110.0,Auvergne-Rhône-Alpes,Beaumont,11023.0,1,39666.666667,Royat-Chamalières,2.3615959321472846,10.0,72,13.88888888888889
PROX-BDB-0620-336510,-1.40649,48.25949,26 RUE DE RENNES,35140.0,Bretagne,Saint-Aubin-du-Cormier,3998.0,2,20263.333333,Châteaubourg,17.034716203134945,3.0,28,10.714285714285714
PROX-BDB-0620-336511,1.50719,45.19063,3 AVENUE DE BRIVE,19270.0,Nouvelle-Aquitaine,Ussac,4294.0,3,22700.4,Brive-la-Gaillarde,4.5935069340410175,3.0,10,30.0
PROX-BDB-0620-336512,-0.58008,47.47361,3 AVENUE DU GENERAL PATTON,49000.0,Pays de la Loire,Angers,156037.0,4,18748.0,Angers-St-Laud,2.029530502969925,4.0,25,16.0
PROX-BDB-0620-336513,4.12025,46.45175,8 PL LAMARTINE,71600.0,Bourgogne-Franche-Comté,Paray-le-Monial,9639.0,3,18700.190476,Paray-le-Monial,0.708037984720205,6.0,16,37.5
PROX-BDB-0620-336514,4.86095,46.77979,33 RUE DE STRASBOURG,71100.0,Bourgogne-Franche-Comté,Chalon-sur-Saône,46603.0,3,17363.111111,Chalon-sur-Saône,1.4109534141452749,17.0,127,13.385826771653544
PROX-BDB-0620-336515,-0.6485,44.84246,9 PLACE CHARLES DE GAULLE,33700.0,Nouvelle-Aquitaine,Mérignac,70815.0,2,21636.0,Caudéran-Mérignac,1.6600221208725303,5.0,27,18.51851851851852
PROX-BDB-0620-336516,0.08244,43.22875,27 PL DU FOIRAIL,65000.0,Occitanie,Tarbes,42590.0,3,17110.666667,Tarbes,1.666310674268131,7.0,59,11.864406779661017
PROX-BDB-0620-336517,1.45523,43.6179,38 RUE DU FAUBOURG BONNEFOY,31500.0,Occitanie,Toulouse,484809.0,4,20100.0,Toulouse-Matabiau,0.8034786565472621,42.0,107,39.25233644859813
PROX-BDB-0620-336518,3.11067,50.37211,114 RUE CELESTIN DUBOIS,59119.0,Hauts-de-France,Waziers,7519.0,4,14706.578947,Sin-le-Noble,1.7367162782723755,43.0,62,69.35483870967742
PROX-BDB-0620-336519,5.33086,43.36014,174 RUE RABELAIS,13016.0,Provence-Alpes-Côte d'Azur,Marseille 16e Arrondissement,16286.0,4,16876.666667,Séon-St-Henry,0.7753786395381236,10.0,63,15.873015873015872
PROX-BDB-1021-352753,5.34201,45.95456,6 AV DU GEN SARRAIL,1500.0,Auvergne-Rhône-Alpes,Ambérieu-en-Bugey,14428.0,3,19554.0,Ambérieu,0.08836597765129782,4.0,30,13.333333333333334
PROX-BDB-1021-352754,5.27934,45.58952,5 AV PROFESSEUR TIXIER,38300.0,Auvergne-Rhône-Alpes,Bourgoin-Jallieu,29024.0,3,18705.0,Bourgoin-Jallieu,0.7387093454568796,9.0,49,18.367346938775512
PROX-BDB-1021-352755,4.87502,49.69671,24 AVENUE DE TOULON,8350.0,Grand Est,Donchery,2115.0,2,17915.333333,Donchery,0.17914152669158173,7.0,24,29.166666666666668
